Year,New Or Old,Address,Production Origin,Color,Car Gearbox,Used (kilomet),Company,Fuel Type,Machine Capacity (L) Random,Price
2013, Xe cũ, Hà Nội, Xe nhập khẩu, màu xanh, số tự động, 11, Mini, máy xăng, 1.6, 840 Triệu
2015, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 80000, Toyota, máy xăng, 2.7, 1 Tỷ 555 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu đỏ, số tay, 0, Hyundai, máy xăng, 1.4, 467 Triệu
2022, Xe mới, Hải Phòng, Xe nhập khẩu, màu trắng, số tự động, 0, Toyota, máy xăng, 1.8, 730 Triệu
2021, Xe mới, TP HCM, Xe lắp ráp trong nước, màu nâu, số tự động, 0, VinFast, máy xăng, 6.2, 3 Tỷ 800 Triệu
2009, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 80000, Toyota, máy xăng, 2.7, 565 Triệu
2009, Xe cũ, Hà Nội, Xe nhập khẩu, màu bạc, số tự động, 160000, Kia, máy xăng, 1.6, 299 Triệu
2017, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 60000, Mazda, máy xăng, 2.0, 680 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu xanh, số tay, 0, Suzuki, máy xăng, 1.5, 279 Triệu
2010, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 1100, Toyota, máy xăng, 2.7, 899 Triệu
2010, Xe cũ, Hà Nội, Xe nhập khẩu, màu xanh, số tự động, 1000, Daewoo, máy xăng, 1.0, 179 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu cát, số tự động, 0, Toyota, máy xăng, 1.5, 550 Triệu
2004, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 1200, Toyota, máy xăng, 3.0, 259 Triệu
2009, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 80000, Lexus, máy xăng, 3.5, 1 Tỷ 65 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu xanh, số tự động, 0, Kia, máy xăng, 1.6, 674 Triệu
2016, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 60000, Toyota, máy xăng, 3.5, 2 Tỷ 640 Triệu
2016, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 100000, Chevrolet, máy xăng, 2.4, 545 Triệu
2013, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 82000, Hyundai, máy xăng, 1.6, 350 Triệu
2019, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 28569, Hyundai, máy xăng, 1.6, 625 Triệu
2017, Xe cũ, Hà Nội, Xe nhập khẩu, màu xanh, số tự động, 10000, Maserati, máy xăng, 3.0, 4 Tỷ 200 Triệu
2022, Xe mới, TP HCM, Xe nhập khẩu, màu trắng, số tự động, 0, Honda, máy xăng, 1.5, 870 Triệu
2019, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 37000, Honda, máy xăng, 1.8, 739 Triệu
2019, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 30000, Ford, máy xăng, 2.3, 1 Tỷ 898 Triệu
2018, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 26000, Mazda, máy xăng, 2.0, 735 Triệu
2006, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu xám, số tay, 115000, Mitsubishi, máy xăng, 2.0, 145 Triệu
2022, Xe mới, Đà Nẵng, Xe lắp ráp trong nước, màu đen, số tự động, 0, VinFast, máy xăng, 2.0, 820 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Hyundai, máy xăng, 2.5, 1 Tỷ 30 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Hyundai, máy xăng, 1.5, 670 Triệu
2008, Xe cũ, Hà Nội, Xe nhập khẩu, màu ghi, số tự động, 100000, Honda, máy xăng, 2.4, 380 Triệu
2020, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 22000, Hyundai, máy xăng, 1.4, 485 Triệu
2019, Xe mới, TP HCM, Xe nhập khẩu, màu trắng, số tự động, 0, Maserati, máy xăng, 4.7, 10 Tỷ 799 Triệu
2016, Xe cũ, Hà Nội, Xe nhập khẩu, màu cam, số tự động, 90000, Mitsubishi, máy dầu, 2.5, 475 Triệu
2021, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Honda, máy xăng, 1.2, 435 Triệu
2022, Xe mới, Ninh Thuận, Xe lắp ráp trong nước, màu nâu, số tay, 0, Ford, máy dầu, 2.2, 811 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Mazda, máy xăng, 2.5, 917 Triệu
2016, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 6000, Mercedes, máy xăng, 2.0, 1 Tỷ 150 Triệu
2015, Xe cũ, Hà Nội, Xe nhập khẩu, màu cát, số tự động, 60000, Lexus, máy xăng, 3.5, 2 Tỷ 100 Triệu
2019, Xe mới, TP HCM, Xe nhập khẩu, màu xám, số tự động, 0, Maserati, máy xăng, 3.8, 11 Tỷ 718 Triệu
2008, Xe cũ, Hà Nội, Xe nhập khẩu, màu bạc, số tự động, 86000, BMW, máy xăng, 3.0, 710 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Hyundai, máy dầu, 2.2, 1 Tỷ 325 Triệu
2021, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Nissan, máy xăng, 1.0, 579 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, VinFast, máy xăng, 2.0, 849 Triệu
2015, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 90000, Mercedes, máy xăng, 2.0, 999 Triệu
2022, Xe mới, Bình Dương, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Honda, máy xăng, 1.5, 569 Triệu
2021, Xe mới, Đà Nẵng, Xe lắp ráp trong nước, màu đỏ, số tự động, 0, Hyundai, máy xăng, 1.25, 455 Triệu
2021, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 7000, VinFast, máy xăng, 2.0, 799 Triệu
2015, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu bạc, số tự động, 90000, Toyota, máy xăng, 2.7, 585 Triệu
2021, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 0, Hyundai, máy xăng, 1.25, 415 Triệu
2015, Xe cũ, Hà Nội, Xe nhập khẩu, màu xanh, số tự động, 30000, Mini, máy xăng, 2.0, 1 Tỷ 480 Triệu
2016, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu trắng, số tự động, 52000, Chevrolet, máy xăng, 2.4, 498 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu nâu, số tay, 0, Mitsubishi, máy xăng, 1.5, 550 Triệu
2018, Xe cũ, Hà Nội, Xe nhập khẩu, màu vàng, số tự động, 40000, Lexus, máy xăng, 5.7, 8 Tỷ 330 Triệu
2016, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 70000, Infiniti, máy xăng, 3.5, 1 Tỷ 750 Triệu
2016, Xe cũ, Hà Nội, Xe nhập khẩu, màu đỏ, số tự động, 65000, Toyota, máy xăng, 1.3, 489 Triệu
2017, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 16000, Kia, máy xăng, 1.25, 335 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu xanh, số tự động, 0, Ford, máy dầu, 2.2, 662 Triệu
2020, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 9000, Mercedes, máy xăng, 3.0, 4 Tỷ 599 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 0, Kia, máy xăng, 1.5, 624 Triệu
2021, Xe mới, Khánh Hòa, Xe nhập khẩu, màu xanh, số tự động, 0, BMW, máy xăng, 3.0, 4 Tỷ 479 Triệu
2021, Xe mới, TP HCM, Xe lắp ráp trong nước, màu xám, số tự động, 0, Ford, máy dầu, 2.2, 662 Triệu
2020, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu xanh, số tự động, 17000, VinFast, máy xăng, 2.0, 870 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu xám, số tự động, 0, Kia, máy xăng, 1.5, 624 Triệu
2022, Xe mới, TP HCM, Xe nhập khẩu, màu trắng, số tự động, 0, Isuzu, máy dầu, 1.9, 670 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu xám, số tự động, 0, Toyota, máy xăng, 3.0, 765 Triệu
2019, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 29000, Hyundai, máy xăng, 2.4, 999 Triệu
2013, Xe cũ, Hà Nội, Xe nhập khẩu, màu bạc, số tự động, 57000, Bentley, máy xăng, 2.0, 11 Tỷ 900 Triệu
2018, Xe cũ, Vĩnh Phúc, Xe lắp ráp trong nước, màu đen, số tay, 60000, Chevrolet, máy xăng, 1.4, 260 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu cam, số tự động, 0, Kia, máy xăng, 1.4, 759 Triệu
2017, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu bạc, số tay, 56000, Kia, máy xăng, 1.25, 255 Triệu
2010, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 80000, Toyota, máy xăng, 1.8, 369 Triệu
2017, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 42000, Mercedes, máy xăng, 2.0, 1 Tỷ 438 Triệu
2018, Xe cũ, Hà Nội, Xe nhập khẩu, màu đỏ, số tự động, 34000, Honda, máy xăng, 1.5, 909 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu bạc, số tự động, 0, VinFast, máy xăng, 1.4, 383 Triệu
2009, Xe cũ, Thái Nguyên, Xe nhập khẩu, màu đen, số tự động, 10000, Acura, máy xăng, 3.7, 585 Triệu
2022, Xe mới, Quảng Ninh, Xe nhập khẩu, màu trắng, số tự động, 0, Mitsubishi, máy dầu, 2.4, 630 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu nâu, số tự động, 0, Honda, máy xăng, 1.5, 958 Triệu
2016, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 50000, Lexus, máy xăng, 3.5, 2 Tỷ 950 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu đen, số tự động, 0, VinFast, máy xăng, 2.0, 881 Triệu
2018, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 21000, Mercedes, máy xăng, 2.0, 1 Tỷ 860 Triệu
2021, Xe mới, Hà Nội, Xe nhập khẩu, màu xanh, số tự động, 0, Isuzu, máy dầu, 1.9, 590 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 0, VinFast, máy xăng, 2.0, 874 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu bạc, số tự động, 0, Nissan, máy xăng, 1.0, 579 Triệu
2022, Xe mới, Lâm Đồng, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Peugeot, máy xăng, 1.6, 1 Tỷ 224 Triệu
2021, Xe mới, Phú Thọ, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Kia, máy xăng, 1.4, 634 Triệu
2021, Xe mới, Hà Nội, Xe nhập khẩu, màu xanh, số tự động, 0, BMW, máy xăng, 2.0, 4 Tỷ 159 Triệu
2015, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu xám, số tự động, 54000, Honda, máy xăng, 1.5, 395 Triệu
2018, Xe cũ, Hà Nội, Xe nhập khẩu, màu xanh, số tự động, 30000, BMW, máy xăng, 2.0, 3 Tỷ 399 Triệu
2021, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu trắng, số tự động, 3000, Mercedes, máy xăng, 3.0, 4 Tỷ 699 Triệu
2019, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu xanh, số tự động, 45000, Mazda, máy xăng, 2.5, 930 Triệu
2014, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 62500, Toyota, máy xăng, 2.7, 1 Tỷ 415 Triệu
2008, Xe cũ, Đăk Lăk, Xe lắp ráp trong nước, màu cát, số tay, 118000, Chevrolet, máy xăng, 2.4, 260 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu cam, số tự động, 0, Mitsubishi, máy dầu, 2.4, 740 Triệu
2010, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 68000, Kia, máy xăng, 1.6, 339 Triệu
2010, Xe cũ, Hà Nội, Xe nhập khẩu, màu bạc, số tự động, 90000, Honda, máy xăng, 2.4, 410 Triệu
2019, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 36000, Mercedes, máy xăng, 2.0, 1 Tỷ 780 Triệu
2022, Xe mới, TP HCM, Xe nhập khẩu, màu đỏ, số tự động, 0, Toyota, máy xăng, 2.0, 1 Tỷ 70 Triệu
2019, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 30000, Toyota, máy xăng, 1.5, 479 Triệu
2018, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu bạc, số tay, 82000, Toyota, máy xăng, 2.0, 598 Triệu
2016, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tay, 80000, Toyota, máy xăng, 1.5, 295 Triệu
2009, Xe cũ, Thái Nguyên, Xe nhập khẩu, màu xám, số tự động, 89000, Porsche, máy xăng, 4.8, 930 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Suzuki, máy xăng, 1.5, 555 Triệu
2019, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tay, 70000, Hyundai, máy dầu, 2.5, 720 Triệu
2017, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 30000, Mercedes, máy xăng, 1.6, 1 Tỷ 180 Triệu
2021, Xe mới, TP HCM, Xe nhập khẩu, màu trắng, số tay, 0, Mitsubishi, máy xăng, 1.2, 375 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu nâu, số tự động, 0, Hyundai, máy xăng, 1.4, 535 Triệu
2019, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 40000, Toyota, máy xăng, 2.7, 975 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tay, 0, Suzuki, máy xăng, 1.5, 299 Triệu
2007, Xe cũ, TP HCM, Xe nhập khẩu, màu đỏ, số tự động, 80000, Honda, máy xăng, 3.5, 580 Triệu
2020, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 16000, Toyota, máy xăng, 2.5, 1 Tỷ 210 Triệu
2012, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 130000, Ford, máy xăng, 2.3, 355 Triệu
2022, Xe mới, Hải Dương, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Ford, máy dầu, 2.2, 662 Triệu
2016, Xe cũ, Hà Nội, Xe nhập khẩu, màu nâu, số tự động, 70000, Nissan, máy dầu, 2.5, 520 Triệu
2015, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 60000, Toyota, máy xăng, 3.5, 2 Tỷ 290 Triệu
2021, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 6000, Mazda, máy xăng, 2.0, 855 Triệu
2021, Xe mới, TP HCM, Xe nhập khẩu, màu trắng, số tự động, 0, Nissan, máy dầu, 2.5, 945 Triệu
2015, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 82000, BMW, máy xăng, 3.0, 1 Tỷ 899 Triệu
2021, Xe mới, TP HCM, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Mercedes, máy xăng, 2.0, 2 Tỷ 499 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu cát, số tay, 0, Toyota, máy xăng, 1.5, 468 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Kia, máy dầu, 2.2, 1 Tỷ 199 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu xanh, số tự động, 0, VinFast, máy xăng, 1.4, 409 Triệu
2022, Xe mới, Vĩnh Phúc, Xe nhập khẩu, màu xanh, số tự động, 0, MG, máy xăng, 1.5, 519 Triệu
2010, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 90000, Mercedes, máy xăng, 1.8, 495 Triệu
2015, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 100000, Toyota, máy xăng, 2.7, 1 Tỷ 630 Triệu
2022, Xe mới, Thanh Hóa, Xe nhập khẩu, màu đỏ, số tự động, 0, Mazda, máy dầu, 1.9, 810 Triệu
2019, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 38000, Hyundai, máy xăng, 2.4, 1 Tỷ 20 Triệu
2021, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 12000, VinFast, máy xăng, 2.0, 785 Triệu
2012, Xe cũ, Hà Nội, Xe nhập khẩu, màu đỏ, số tự động, 90000, Kia, máy xăng, 1.6, 355 Triệu
2016, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 65000, Ford, máy xăng, 1.5, 365 Triệu
2016, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 8000, Toyota, máy xăng, 1.5, 379 Triệu
2015, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 59000, Hyundai, máy xăng, 2.0, 710 Triệu
2006, Xe cũ, TP HCM, Xe nhập khẩu, màu bạc, số tự động, 177679, Lexus, máy xăng, 3.5, 615 Triệu
2020, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 20000, Toyota, máy xăng, 1.5, 539 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu đỏ, số tự động, 0, Toyota, xe hybrid, 1.8, 910 Triệu
2020, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 20000, Mazda, máy xăng, 2.0, 885 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, VinFast, máy xăng, 1.4, 419 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 0, Ford, máy dầu, 2.2, 660 Triệu
2020, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 18000, Toyota, máy xăng, 2.5, 1 Tỷ 220 Triệu
2018, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 7500, Mercedes, máy xăng, 3.0, 3 Tỷ 888 Triệu
2022, Xe mới, Cần Thơ, Xe nhập khẩu, màu trắng, số tay, 0, Mitsubishi, máy xăng, 1.2, 375 Triệu
2020, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu trắng, số tự động, 18000, Mercedes, máy xăng, 2.0, 1 Tỷ 639 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu xanh, số tự động, 0, Mazda, máy xăng, 2.0, 919 Triệu
2010, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 110000, BMW, máy xăng, 3.0, 425 Triệu
2020, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 22000, Mazda, máy xăng, 2.5, 980 Triệu
2021, Xe cũ, Hải Dương, Xe lắp ráp trong nước, màu đen, số tự động, 12000, Hyundai, máy xăng, 1.4, 539 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Lexus, máy xăng, 3.4, 10 Tỷ
2019, Xe cũ, Hà Nội, Xe nhập khẩu, màu cát, số tự động, 14000, Lexus, máy xăng, 2.5, 2 Tỷ 450 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu cam, số tự động, 0, Ford, máy dầu, 2.0, 907 Triệu
2021, Xe mới, Đà Nẵng, Xe lắp ráp trong nước, màu trắng, số tay, 0, Hyundai, máy xăng, 1.25, 405 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu đỏ, số tự động, 0, VinFast, máy xăng, 2.0, 1 Tỷ 74 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu trắng, số tay, 0, Isuzu, máy dầu, 2.5, 570 Triệu
2021, Xe mới, Hà Nội, Xe nhập khẩu, màu xanh, số tay, 0, Isuzu, máy dầu, 1.9, 595 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, VinFast, máy xăng, 1.4, 365 Triệu
2019, Xe cũ, Bắc Ninh, Xe lắp ráp trong nước, màu cát, số tự động, 71000, Hyundai, máy xăng, 2.0, 539 Triệu
2019, Xe cũ, TP HCM, Xe nhập khẩu, màu xanh, số tự động, 79000, Ford, máy dầu, 2.0, 1 Tỷ 250 Triệu
2022, Xe mới, Hải Dương, Xe lắp ráp trong nước, màu trắng, số tay, 0, Ford, máy dầu, 2.2, 629 Triệu
2017, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu đen, số tự động, 58000, Toyota, máy xăng, 2.5, 840 Triệu
2018, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 40000, Lexus, máy xăng, 5.7, 7 Tỷ 990 Triệu
2020, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 26000, Ford, máy dầu, 2.0, 888 Triệu
2016, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 70000, Honda, máy xăng, 2.4, 710 Triệu
2019, Xe cũ, Cần Thơ, Xe lắp ráp trong nước, màu trắng, số tự động, 39000, Hyundai, máy xăng, 1.4, 465 Triệu
2010, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 120000, Lexus, máy xăng, 5.7, 2 Tỷ 550 Triệu
2021, Xe cũ, Hà Nam, Xe lắp ráp trong nước, màu trắng, số tự động, 20000, Kia, máy dầu, 2.2, 1 Tỷ 299 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Kia, máy xăng, 1.4, 759 Triệu
2018, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 45000, Hyundai, máy xăng, 2.4, 893 Triệu
2018, Xe cũ, Thái Bình, Xe nhập khẩu, màu trắng, số tự động, 27000, Toyota, máy xăng, 2.7, 935 Triệu
2022, Xe mới, Hải Dương, Xe lắp ráp trong nước, màu xám, số tự động, 0, VinFast, xe điện, 0.2, 1 Tỷ 193 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu bạc, số tự động, 0, Toyota, xe hybrid, 1.8, 915 Triệu
2019, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 58000, Toyota, máy xăng, 1.8, 659 Triệu
2018, Xe cũ, Phú Thọ, Xe nhập khẩu, màu trắng, số tự động, 4200, Toyota, máy xăng, 1.2, 312 Triệu
2017, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu bạc, số tự động, 53600, Hyundai, máy xăng, 2.4, 795 Triệu
2021, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 5000, Mercedes, máy xăng, 3.0, 4 Tỷ 99 Triệu
2016, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 50000, Toyota, máy xăng, 2.7, 1 Tỷ 595 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu đỏ, số tự động, 0, Ford, máy dầu, 2.0, 1 Tỷ 158 Triệu
2009, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 200000, Toyota, máy xăng, 2.4, 465 Triệu
2021, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, BMW, máy xăng, 3.0, 4 Tỷ 199 Triệu
2022, Xe mới, TP HCM, Xe nhập khẩu, màu trắng, số tự động, 0, Mazda, máy xăng, 1.5, 489 Triệu
2021, Xe mới, TP HCM, Xe nhập khẩu, màu xanh, số tự động, 0, BMW, máy xăng, 3.0, 6 Tỷ 889 Triệu
2014, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 60000, Suzuki, máy xăng, 1.4, 369 Triệu
2019, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu xanh, số tự động, 56000, Honda, máy xăng, 1.5, 485 Triệu
2018, Xe cũ, Hải Phòng, Xe lắp ráp trong nước, màu nâu, số tự động, 36500, Mazda, máy xăng, 2.0, 745 Triệu
2020, Xe cũ, Thái Nguyên, Xe lắp ráp trong nước, màu trắng, số tự động, 250000, VinFast, máy xăng, 1.4, 355 Triệu
2021, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 8000, VinFast, máy xăng, 1.4, 379 Triệu
2020, Xe cũ, Quảng Ninh, Xe lắp ráp trong nước, màu đỏ, số tự động, 15000, Hyundai, máy xăng, 1.6, 585 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu cam, số tự động, 0, Mitsubishi, máy xăng, 1.5, 615 Triệu
2017, Xe cũ, Hải Dương, Xe nhập khẩu, màu xám, số tự động, 70000, Honda, máy xăng, 1.5, 639 Triệu
2022, Xe mới, Hưng Yên, Xe nhập khẩu, màu trắng, số tự động, 0, Toyota, máy xăng, 1.0, 547 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 0, VinFast, xe điện, 2.7, 590 Triệu
2022, Xe mới, TP HCM, Xe lắp ráp trong nước, màu cam, số tự động, 0, Ford, máy dầu, 2.0, 937 Triệu
2019, Xe cũ, Vĩnh Phúc, Xe nhập khẩu, màu bạc, số tay, 49000, Toyota, máy xăng, 1.2, 290 Triệu
2022, Xe mới, TP HCM, Xe nhập khẩu, màu đen, số tự động, 0, Toyota, máy xăng, 1.8, 765 Triệu
2006, Xe cũ, TP HCM, Xe nhập khẩu, màu trắng, số tự động, 67000, Toyota, máy xăng, 3.3, 465 Triệu
2009, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 85000, Lexus, máy xăng, 5.7, 2 Tỷ 350 Triệu
2020, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 13000, Honda, máy xăng, 1.8, 765 Triệu
2021, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 0, Hyundai, máy xăng, 1.4, 499 Triệu
2021, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Lexus, máy xăng, 5.7, 9 Tỷ 150 Triệu
2019, Xe cũ, Hà Nội, Xe nhập khẩu, màu bạc, số tay, 390000, Toyota, máy dầu, 3.0, 830 Triệu
2020, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 17000, Mercedes, máy xăng, 3.0, 4 Tỷ 150 Triệu
2022, Xe mới, Tây Ninh, Xe lắp ráp trong nước, màu trắng, số tự động, 0, VinFast, máy xăng, 2.0, 929 Triệu
2015, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 80000, Jaguar, máy xăng, 2.0, 1 Tỷ 180 Triệu
